startSeconds,endSeconds,targetChildProminence
160.64,161.24,2
171.84,172.53,1
260.88,261.52,2
290.84,291.44,1
407.43,408.23,1
422.92,423.53,1
443.13,444.41,3
451.59,452.19,1
466.2,466.9,1
552.95,553.55,2
622.87,623.47,3
624.27,624.87,2
626.42,627.02,3
638.32,638.92,2
652.51,653.11,2
657.76,658.36,2
659.19,659.86,2
673.77,674.37,3
675.17,675.82,2
683.72,684.32,1
692.1,692.71,1
695.53,696.17,1
698.1,698.74,2
700.83,701.43,2
723.71,724.31,2
748.46,750.39,2
751.44,752.04,1
759.04,759.64,1
761.37,762.69,2
763.72,764.38,1
765.69,766.74,2
774.47,775.07,2
776.24,776.99,1
810.18,810.83,3
814.29,815.42,2
816.23,816.93,1
828.71,829.4,1
839.61,840.21,3
902.04,902.64,1
905.67,906.67,2
907.79,908.71,3
910.19,910.98,2
973.33,973.93,3
974.73,975.33,1
976.13,976.73,2
978.96,979.93,1
986.63,987.51,2
988.33,989.89,2
993.54,994.14,1
994.94,996.23,2
997.23,997.83,1
998.89,999.55,1
1007.82,1008.42,3
1019.46,1020.21,1
1061.64,1062.24,3
1063.04,1063.64,2
1075.74,1077.52,3
1079.45,1080.25,2
1093.0,1093.6,2
1094.6,1095.54,3
1138.54,1139.42,2
1146.14,1146.74,2
1150.49,1151.09,1
1163.14,1163.78,1
1164.96,1166.34,1
1167.16,1169.19,1
1177.95,1178.72,2
1180.79,1181.39,1
1191.14,1191.8,2
1199.49,1200.09,3
1208.4,1209.15,1
1214.07,1214.67,1
1227.16,1227.76,1
1231.15,1231.81,2
1233.53,1234.13,1
1237.16,1238.53,2
1240.16,1240.92,2
1245.63,1246.23,3
1248.23,1248.87,2
1264.53,1266.48,2
1274.68,1275.32,1
1276.24,1276.84,1
1277.64,1278.31,1
1280.52,1281.13,1
1284.93,1285.53,2
1289.05,1290.24,2
1296.58,1297.69,3
1341.4,1343.13,1
1372.3,1372.91,3
1386.06,1386.66,1
1389.55,1390.41,2
1391.26,1391.86,2
1392.69,1393.49,1
1395.33,1397.04,1
1399.37,1399.97,2
1450.54,1451.93,2
1451.93,1452.93,3
1464.87,1466.12,2
1467.36,1468.2,1
1472.74,1473.47,1
1474.27,1475.85,2
1537.84,1538.44,3
1546.3,1546.9,3
1578.5,1579.1,3
1579.1,1580.15,3
1597.59,1598.19,2
1607.92,1608.55,2
1640.22,1640.82,2
1647.29,1647.89,2
1655.45,1656.22,2
1662.39,1662.99,3
1673.99,1674.68,1
1676.25,1677.07,1
1678.51,1681.17,1
1682.2,1682.8,1
1683.61,1684.21,2
1685.01,1685.61,3
1691.89,1692.51,1
1709.09,1710.58,1
1746.49,1747.14,2
1763.15,1763.75,3
1787.76,1788.45,2
