startSeconds,endSeconds,includesTargetChild
55.03,56.05,True
61.32,61.93,True
62.73,63.33,True
66.31,66.92,True
68.02,72.32,True
73.26,81.1,True
81.1,82.11,True
82.11,87.77,True
89.0,90.3,True
91.32,92.19,True
92.99,93.67,True
98.88,103.48,True
104.35,106.56,True
107.36,109.23,True
109.23,110.23,True
110.23,112.0,True
113.08,134.12,True
136.36,149.37,True
150.17,165.97,True
167.2,167.95,True
168.75,179.72,True
181.25,184.0,True
191.12,192.83,True
199.83,201.1,True
203.54,204.14,True
206.69,207.47,True
208.8,209.59,True
210.49,211.09,True
220.16,221.9,True
224.96,225.98,True
229.03,230.48,True
233.93,234.55,True
235.35,236.53,True
236.53,237.24,True
300.32,301.66,True
303.01,303.94,True
328.72,329.5,True
329.5,330.31,True
330.31,331.31,True
332.11,332.72,True
3306.85,3307.45,True
3310.89,3311.49,True
3315.31,3319.12,True
3323.34,3323.94,True
3325.2,3327.08,True
3327.88,3329.51,True
3330.31,3331.52,True
3332.71,3334.8,True
3335.88,3336.48,True
3337.38,3338.44,True
3339.32,3341.32,True
3342.12,3345.41,True
3346.25,3347.52,True
3348.37,3348.97,True
3348.97,3350.0,True
3350.0,3354.26,True
3354.26,3355.49,True
3356.86,3357.52,True
3358.32,3365.5,True
3366.3,3366.9,True
3368.36,3372.01,True
3377.25,3377.88,True
3378.86,3384.12,True
3385.01,3388.88,True
3389.91,3391.55,True
3391.55,3392.35,True
3392.35,3394.91,True
3395.72,3396.34,True
3397.14,3399.6,True
3400.4,3401.32,True
3402.21,3403.29,True
3403.29,3404.09,True
3404.09,3407.93,True
3408.73,3409.39,True
3410.31,3411.55,True
3412.88,3413.83,True
3415.12,3416.2,True
3417.34,3418.2,True
3419.02,3422.79,True
3423.63,3425.3,True
3425.3,3426.73,True
3582.17,3583.04,True
3587.38,3588.94,False
3594.43,3595.1,True
3596.06,3596.67,True
3598.51,3599.94,True
3600.94,3601.99,True
3601.99,3603.01,True
3603.01,3604.37,True
4016.64,4018.06,True
4025.27,4026.28,True
4027.87,4028.49,True
4029.34,4030.01,True
4030.88,4031.48,True
4089.73,4090.79,True
