startSeconds,endSeconds,targetChildProminence
29.49,30.51,1
36.18,37.06,1
38.36,38.99,2
39.79,40.39,2
51.23,51.95,2
54.04,55.74,2
56.54,57.46,2
59.75,60.35,2
74.55,76.18,2
90.19,91.05,1
92.39,93.04,1
95.92,97.43,2
100.73,101.53,1
104.52,105.12,2
126.9,127.83,2
557.48,558.09,2
792.67,793.51,2
796.52,797.29,2
800.94,801.54,2
807.16,807.81,2
823.21,823.81,3
824.61,825.61,3
845.48,846.32,2
1127.69,1128.62,2
1131.53,1132.2,2
1146.89,1147.49,2
1148.29,1148.89,2
1154.94,1155.72,2
1157.02,1158.39,2
1158.39,1159.05,3
1314.53,1315.16,2
1319.2,1319.82,2
1328.75,1329.72,2
1339.41,1341.06,2
1343.76,1344.76,2
1404.05,1404.65,1
1437.44,1438.35,2
1440.1,1440.74,1
1442.47,1443.08,1
1447.78,1448.38,2
1452.38,1453.62,1
1464.86,1466.18,1
1466.98,1467.84,1
1468.68,1470.22,1
1471.13,1473.31,1
1477.29,1479.04,1
1480.0,1481.47,1
1482.87,1485.51,1
1494.95,1495.98,1
1497.74,1498.35,2
1517.18,1517.78,1
1518.8,1519.67,2
1523.73,1524.64,1
1536.51,1538.26,2
1567.97,1569.98,2
1572.59,1573.56,1
1587.98,1588.58,2
1590.36,1591.01,2
1591.81,1592.41,1
1593.57,1594.22,1
1597.4,1598.07,2
1601.64,1603.38,1
1603.38,1604.19,2
1604.19,1604.92,2
1607.91,1610.2,2
1611.08,1612.5,1
1624.54,1625.67,1
1633.24,1635.3,1
1639.41,1640.53,1
1645.28,1645.88,5
1652.92,1653.52,1
1655.96,1656.68,1
1657.6,1658.2,1
1670.07,1670.68,1
1700.76,1701.37,1
1704.53,1705.17,3
1720.34,1721.35,2
1722.42,1724.87,1
1766.13,1766.8,1
1776.16,1776.76,1
1777.75,1778.6,1
1784.3,1784.92,1
1797.87,1799.42,1
1808.05,1810.53,1
1814.93,1815.53,1
1826.51,1828.6,1
1831.98,1832.58,2
1835.23,1836.04,5
1845.38,1846.53,1
1860.98,1861.78,2
1862.58,1863.95,1
1867.56,1868.47,2
1872.87,1873.47,3
1881.8,1883.83,2
1912.97,1913.67,2
1915.72,1916.53,2
1918.01,1920.68,2
1927.77,1928.79,2
1937.59,1940.83,3
1947.91,1948.54,2
1956.15,1956.75,2
1957.75,1958.35,3
1970.74,1971.58,2
1981.2,1981.9,1
1983.07,1983.67,2
1992.25,1992.85,2
1996.13,1996.73,1
1999.05,2002.03,2
2005.83,2010.59,2
2013.41,2014.16,1
2015.88,2016.86,1
2022.93,2023.58,1
2024.9,2026.07,2
2030.79,2031.39,2
2039.07,2039.67,2
2047.64,2049.15,2
2285.39,2285.99,5
2640.67,2641.37,2
2792.41,2793.01,5
2797.96,2799.44,3
2814.96,2816.03,5
2834.83,2835.83,5
2856.97,2857.59,5
2861.84,2862.55,5
2866.78,2867.44,5
2915.48,2916.08,5
2918.6,2919.63,5
2926.62,2927.26,5
2938.41,2939.04,5
2951.71,2952.35,5
2970.96,2971.56,4
2988.64,2989.95,3
3018.53,3019.32,2
3039.36,3039.96,2
3041.65,3042.25,1
3044.83,3045.99,1
3077.52,3078.18,2
3092.75,3093.77,2
3208.61,3209.21,1
3269.98,3272.49,1
3273.9,3274.63,2
3277.78,3278.57,2
3284.82,3285.43,1
3286.62,3287.8,1
3298.85,3299.45,1
3306.75,3309.44,1
3315.82,3316.42,1
3317.78,3318.78,3
3327.75,3330.39,2
3332.93,3335.02,2
3335.02,3336.03,2
3376.85,3379.29,2
3383.34,3383.94,3
3384.8,3387.15,2
3389.16,3389.76,1
3390.56,3392.4,1
3399.53,3400.2,2
3402.59,3405.36,1
3407.29,3409.69,1
3414.44,3415.43,1
3418.83,3420.73,2
3425.5,3426.1,2
3437.76,3443.07,1
3443.87,3444.48,1
3456.65,3458.68,1
3460.12,3460.72,3
3474.07,3476.3,2
3477.29,3478.0,2
3508.64,3509.24,5
3551.04,3551.76,1
3553.46,3554.06,1
3559.33,3559.93,2
3560.73,3562.71,1
3569.44,3571.71,1
3613.63,3614.34,2
3635.67,3636.27,2
3669.15,3669.75,2
3673.14,3673.75,2
3678.68,3679.35,2
3680.15,3681.15,2
3681.15,3681.77,2
3832.02,3833.35,1
3834.15,3834.75,2
3835.56,3836.48,2
3839.15,3839.75,2
3840.74,3843.46,2
3844.26,3844.96,3
3847.28,3848.05,3
3848.85,3849.47,3
3850.27,3851.78,3
3853.81,3854.41,3
3856.27,3857.2,3
3909.4,3910.11,2
3919.63,3922.04,2
3922.04,3923.16,2
3924.16,3924.98,1
3926.44,3927.55,1
3929.83,3931.84,1
3933.64,3934.28,2
3935.12,3935.82,1
3936.68,3939.37,2
3941.75,3942.36,1
3943.16,3952.19,1
3953.0,3958.37,1
3959.55,3966.12,1
3966.94,3967.81,3
3973.66,3975.02,2
4007.71,4008.55,2
4053.38,4054.28,1
4072.73,4074.38,1
4078.87,4079.48,2
4090.23,4091.63,1
4094.51,4095.51,2
4095.51,4096.16,1
4097.16,4099.29,1
4106.76,4108.37,1
4119.28,4121.11,1
